"","publisher","page_id","name","urlslug","id","align","eye","hair","sex","gsm","alive","appearances","first_appearance","month","year","date"
"3740","Marvel",173608,"Gladstone Hawkins (Earth-616)","\/Gladstone_Hawkins_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Brown Hair","Male Characters",NA,"Living Characters",8,"1978, December","December",1978,1978-12-01
"3741","Marvel",90604,"Peter Spaulding (Earth-616)","\/Peter_Spaulding_(Earth-616)","Public Identity","Good Characters",NA,"Blond Hair","Male Characters",NA,"Deceased Characters",8,"1978, April","April",1978,1978-04-01
"3742","Marvel",72027,"Victor von Doom (Clone) (Earth-616)","\/Victor_von_Doom_(Clone)_(Earth-616)",NA,NA,NA,NA,"Male Characters",NA,"Living Characters",8,"1978, April","April",1978,1978-04-01
"3743","Marvel",439941,"Combatra (Earth-616)","\/Combatra_(Earth-616)",NA,NA,NA,NA,NA,NA,"Living Characters",8,"1979, February","February",1979,1979-02-01
"3744","Marvel",439939,"Dangard Ace (Earth-616)","\/Dangard_Ace_(Earth-616)",NA,NA,NA,NA,NA,NA,"Living Characters",8,"1979, February","February",1979,1979-02-01
"3745","Marvel",16373,"Deathlok (Robot) (Earth-616)","\/Deathlok_(Robot)_(Earth-616)",NA,NA,NA,NA,NA,NA,"Deceased Characters",8,"1979, July","July",1979,1979-07-01
"3746","Marvel",4523,"Lady Lotus (Earth-616)","\/Lady_Lotus_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Black Hair","Female Characters",NA,"Living Characters",8,"1979, February","February",1979,1979-02-01
"3747","Marvel",71926,"Prime Director (Earth-616)","\/Prime_Director_(Earth-616)",NA,"Good Characters",NA,"White Hair","Male Characters",NA,"Deceased Characters",8,"1979, December","December",1979,1979-12-01
"3748","Marvel",439937,"Raydeen (Earth-616)","\/Raydeen_(Earth-616)",NA,NA,NA,NA,NA,NA,"Living Characters",8,"1979, February","February",1979,1979-02-01
"3749","Marvel",593204,"Steven Coffin (Earth-616)","\/Steven_Coffin_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Brown Hair","Male Characters",NA,"Living Characters",8,"1979, February","February",1979,1979-02-01
"3750","Marvel",16009,"Tanak Valt (Earth-616)","\/Tanak_Valt_(Earth-616)","Public Identity",NA,"Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",8,"1979, March","March",1979,1979-03-01
"3751","Marvel",15987,"Bel-Dann (Earth-616)","\/Bel-Dann_(Earth-616)","No Dual Identity","Bad Characters","White Eyes","Black Hair","Male Characters",NA,"Living Characters",8,"1980, September","September",1980,1980-09-01
"3752","Marvel",502953,"Dolly Donahue (Earth-616)","\/Dolly_Donahue_(Earth-616)","Public Identity","Good Characters","Blue Eyes","White Hair","Female Characters",NA,"Living Characters",8,"1980, November","November",1980,1980-11-01
"3753","Marvel",442746,"Jill Stevens (Earth-616)","\/Jill_Stevens_(Earth-616)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Female Characters",NA,"Living Characters",8,"1980, February","February",1980,1980-02-01
"3754","Marvel",458029,"Karas (Earth-616)","\/Karas_(Earth-616)","Public Identity","Good Characters",NA,"Red Hair","Male Characters",NA,"Living Characters",8,"1980, February","February",1980,1980-02-01
"3755","Marvel",675907,"Lou Snider (Earth-616)","\/Lou_Snider_(Earth-616)","Public Identity",NA,NA,"Black Hair","Male Characters",NA,"Living Characters",8,"1980, October","October",1980,1980-10-01
"3756","Marvel",88705,"Rupert Dockery (Earth-616)","\/Rupert_Dockery_(Earth-616)","Public Identity","Bad Characters",NA,NA,"Male Characters",NA,"Living Characters",8,"1980, May","May",1980,1980-05-01
"3757","Marvel",18686,"Vishnu (Hindu Deity) (Earth-616)","\/Vishnu_(Hindu_Deity)_(Earth-616)",NA,NA,NA,"Black Hair","Male Characters",NA,"Living Characters",8,"1980, October","October",1980,1980-10-01
"3758","Marvel",16175,"Avarrish (Earth-616)","\/Avarrish_(Earth-616)",NA,"Bad Characters","White Eyes","No Hair","Male Characters",NA,"Living Characters",8,"1981, March","March",1981,1981-03-01
"3759","Marvel",581464,"Ernest Carrothers (Earth-616)","\/Ernest_Carrothers_(Earth-616)","Public Identity","Good Characters",NA,NA,"Male Characters",NA,"Living Characters",8,"1981, October","October",1981,1981-10-01
"3760","Marvel",32592,"Fashima (Earth-616)","\/Fashima_(Earth-616)",NA,"Bad Characters",NA,"No Hair","Female Characters",NA,"Living Characters",8,"1981, June","June",1981,1981-06-01
"3761","Marvel",12857,"Jonathan Darque (Earth-616)","\/Jonathan_Darque_(Earth-616)","Secret Identity","Bad Characters","Blue Eyes","Brown Hair","Male Characters",NA,"Living Characters",8,"1981, October","October",1981,1981-10-01
"3762","Marvel",122226,"Manfred Haller (Earth-616)","\/Manfred_Haller_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Blond Hair","Male Characters",NA,"Living Characters",8,"1981, June","June",1981,1981-06-01
"3763","Marvel",67786,"Charon (Olympian) (Earth-616)","\/Charon_(Olympian)_(Earth-616)",NA,NA,NA,NA,"Male Characters",NA,"Living Characters",8,"1982, January","January",1982,1982-01-01
"3764","Marvel",1212,"Franz Mittelstaedt (Earth-616)","\/Franz_Mittelstaedt_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Brown Hair","Male Characters",NA,"Deceased Characters",8,"1982, June","June",1982,1982-06-01
"3765","Marvel",305153,"Juliana Sandoval (Earth-616)","\/Juliana_Sandoval_(Earth-616)",NA,"Good Characters",NA,"Blond Hair","Female Characters",NA,"Deceased Characters",8,"1982, November","November",1982,1982-11-01
"3766","Marvel",298150,"Martha Lund (Earth-616)","\/Martha_Lund_(Earth-616)","Public Identity","Good Characters","Green Eyes","Grey Hair","Female Characters",NA,"Living Characters",8,"1982, December","December",1982,1982-12-01
"3767","Marvel",298151,"Sophie Lund (Earth-616)","\/Sophie_Lund_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Grey Hair","Female Characters",NA,"Living Characters",8,"1982, December","December",1982,1982-12-01
"3768","Marvel",93604,"Wal Rus (Earth-616)","\/Wal_Rus_(Earth-616)","Public Identity","Good Characters","Black Eyes","Brown Hair","Male Characters",NA,"Living Characters",8,"1982, May","May",1982,1982-05-01
"3769","Marvel",174395,"Annie Wheeler (Earth-616)","\/Annie_Wheeler_(Earth-616)","Public Identity","Good Characters",NA,"White Hair","Female Characters",NA,"Living Characters",8,"1983, May","May",1983,1983-05-01
"3770","Marvel",174393,"Ed Wheeler (Earth-616)","\/Ed_Wheeler_(Earth-616)","Public Identity","Good Characters",NA,"Black Hair","Male Characters",NA,"Living Characters",8,"1983, May","May",1983,1983-05-01
"3771","Marvel",16603,"Kenji Oyama (Earth-616)","\/Kenji_Oyama_(Earth-616)",NA,"Bad Characters",NA,NA,"Male Characters",NA,"Deceased Characters",8,"1983, July","July",1983,1983-07-01
"3772","Marvel",39753,"Dragonrider (Earth-616)","\/Dragonrider_(Earth-616)","Public Identity","Bad Characters",NA,"Bald","Female Characters",NA,"Living Characters",8,"1984, September","September",1984,1984-09-01
"3773","Marvel",17180,"Ernest St. Ives (Earth-616)","\/Ernest_St._Ives_(Earth-616)","Public Identity","Bad Characters","Grey Eyes","Black Hair","Male Characters",NA,"Deceased Characters",8,"1984, February","February",1984,1984-02-01
"3774","Marvel",18280,"Hoodwink (Earth-616)","\/Hoodwink_(Earth-616)","Secret Identity","Bad Characters",NA,NA,"Female Characters",NA,"Living Characters",8,"1984, June","June",1984,1984-06-01
"3775","Marvel",18625,"Madeline Watson (Earth-616)","\/Madeline_Watson_(Earth-616)",NA,NA,NA,"Blond Hair","Female Characters",NA,"Deceased Characters",8,"1984, December","December",1984,1984-12-01
"3776","Marvel",587247,"Maria Rambeau (Earth-616)","\/Maria_Rambeau_(Earth-616)","Public Identity","Good Characters","Brown Eyes","Grey Hair","Female Characters",NA,"Living Characters",8,"1984, August","August",1984,1984-08-01
"3777","Marvel",34179,"Max Rocker (Earth-616)","\/Max_Rocker_(Earth-616)","Public Identity",NA,NA,"Brown Hair","Male Characters",NA,"Living Characters",8,"1984, December","December",1984,1984-12-01
"3778","Marvel",24639,"Nidhogg (Earth-616)","\/Nidhogg_(Earth-616)","Public Identity","Bad Characters",NA,NA,"Male Characters",NA,"Deceased Characters",8,"1984, January","January",1984,1984-01-01
"3779","Marvel",21694,"Chiantang (Earth-616)","\/Chiantang_(Earth-616)","Secret Identity",NA,"Yellow Eyes","No Hair","Male Characters",NA,"Deceased Characters",8,"1985, July","July",1985,1985-07-01
"3780","Marvel",495351,"Scion (Earth-616)","\/Scion_(Earth-616)","Secret Identity","Good Characters",NA,NA,"Male Characters",NA,"Living Characters",8,"1985, August","August",1985,1985-08-01
"3781","Marvel",62643,"Tolomaq (Earth-616)","\/Tolomaq_(Earth-616)","Public Identity","Bad Characters",NA,NA,NA,NA,"Living Characters",8,"1985, July","July",1985,1985-07-01
"3782","Marvel",490555,"Valdemar Tykkio (Earth-616)","\/Valdemar_Tykkio_(Earth-616)","Secret Identity","Bad Characters",NA,NA,"Male Characters",NA,"Deceased Characters",8,"1985, December","December",1985,1985-12-01
"3783","Marvel",17444,"Yorgon Tykkio (Earth-616)","\/Yorgon_Tykkio_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Red Hair","Male Characters",NA,"Deceased Characters",8,"1985, December","December",1985,1985-12-01
"3784","Marvel",106942,"Derek Freeman (Earth-616)","\/Derek_Freeman_(Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",NA,"Living Characters",8,"1986, January","January",1986,1986-01-01
"3785","Marvel",482940,"Solaise (Earth-616)","\/Solaise_(Earth-616)","Public Identity",NA,"Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",8,"1986, October","October",1986,1986-10-01
"3786","Marvel",20352,"Wendy Sherman (Earth-616)","\/Wendy_Sherman_(Earth-616)","Secret Identity",NA,"Blue Eyes","White Hair","Female Characters",NA,"Living Characters",8,"1986, June","June",1986,1986-06-01
"3787","Marvel",87206,"David Stack (Earth-616)","\/David_Stack_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",8,"1987, December","December",1987,1987-12-01
"3788","Marvel",167511,"Jonathan Gallagher (Earth-616)","\/Jonathan_Gallagher_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",8,"1987, February","February",1987,1987-02-01
"3789","Marvel",5289,"Maht Pacle (Earth-616)","\/Maht_Pacle_(Earth-616)","Secret Identity",NA,"White Eyes","Black Hair","Male Characters",NA,"Living Characters",8,"1987, October","October",1987,1987-10-01
"3790","Marvel",32697,"Prometheus (Earth-616)","\/Prometheus_(Earth-616)","Public Identity","Good Characters",NA,"Brown Hair","Male Characters",NA,"Living Characters",8,"1987, August","August",1987,1987-08-01
"3791","Marvel",249646,"Samuel Smith (Earth-616)","\/Samuel_Smith_(Earth-616)",NA,"Bad Characters",NA,"Brown Hair","Male Characters",NA,"Deceased Characters",8,"1987, November","November",1987,1987-11-01
"3792","Marvel",1075,"Ani-Mator (Earth-616)","\/Ani-Mator_(Earth-616)","Secret Identity","Bad Characters","Blue Eyes","Bald","Male Characters",NA,"Deceased Characters",8,"1988, January","January",1988,1988-01-01
"3793","Marvel",407136,"Bob (Inferno Baby) (Earth-616)","\/Bob_(Inferno_Baby)_(Earth-616)","Secret Identity","Bad Characters","Blue Eyes","Bald","Male Characters",NA,"Living Characters",8,"1988, December","December",1988,1988-12-01
"3794","Marvel",7320,"Jacob Eichorn (Earth-616)","\/Jacob_Eichorn_(Earth-616)","Secret Identity","Bad Characters","Hazel Eyes","Brown Hair","Male Characters",NA,"Living Characters",8,"1988, November","November",1988,1988-11-01
"3795","Marvel",65390,"Jason McCall (Earth-616)","\/Jason_McCall_(Earth-616)","Secret Identity",NA,NA,"Bald","Male Characters",NA,"Deceased Characters",8,"1988, July","July",1988,1988-07-01
"3796","Marvel",413963,"Maw (Inferno Baby) (Earth-616)","\/Maw_(Inferno_Baby)_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","No Hair","Male Characters",NA,"Deceased Characters",8,"1988, December","December",1988,1988-12-01
"3797","Marvel",45172,"Roche (Earth-616)","\/Roche_(Earth-616)","Public Identity","Bad Characters",NA,"Grey Hair","Male Characters",NA,"Living Characters",8,"1988, September","September",1988,1988-09-01
"3798","Marvel",246184,"Black Shadow (Earth-616)","\/Black_Shadow_(Earth-616)",NA,"Bad Characters",NA,"Black Hair","Male Characters",NA,"Deceased Characters",8,"1989, December","December",1989,1989-12-01
"3799","Marvel",245711,"Elmer Gore (Earth-616)","\/Elmer_Gore_(Earth-616)","Public Identity","Bad Characters",NA,NA,"Male Characters",NA,"Living Characters",8,"1989, February","February",1989,1989-02-01
"3800","Marvel",106988,"Jody Putt (Earth-616)","\/Jody_Putt_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Deceased Characters",8,"1989, August","August",1989,1989-08-01
"3801","Marvel",18714,"Uroc (Earth-616)","\/Uroc_(Earth-616)","Secret Identity",NA,"White Eyes","No Hair","Male Characters",NA,"Living Characters",8,"1989, October","October",1989,1989-10-01
"3802","Marvel",1907,"Haruo Tsuburaya (Earth-616)","\/Haruo_Tsuburaya_(Earth-616)","Secret Identity",NA,NA,"Black Hair","Male Characters",NA,"Deceased Characters",8,"1990, September","September",1990,1990-09-01
"3803","Marvel",2616,"Juliana Worthing (Earth-616)","\/Juliana_Worthing_(Earth-616)","Secret Identity","Bad Characters",NA,"Red Hair","Female Characters",NA,"Living Characters",8,"1990, February","February",1990,1990-02-01
"3804","Marvel",2622,"Jun Tenta (Earth-616)","\/Jun_Tenta_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Black Hair","Male Characters",NA,"Deceased Characters",8,"1990, September","September",1990,1990-09-01
"3805","Marvel",303943,"Marjorie Brink (Earth-616)","\/Marjorie_Brink_(Earth-616)","Public Identity","Good Characters",NA,"Brown Hair","Female Characters",NA,"Living Characters",8,"1990, October","October",1990,1990-10-01
"3806","Marvel",288799,"Tyler Meagher (Earth-616)","\/Tyler_Meagher_(Earth-616)","Public Identity",NA,"Blue Eyes","Brown Hair","Female Characters",NA,"Living Characters",8,"1990, December","December",1990,1990-12-01
"3807","Marvel",66232,"Wanda Mason (Earth-616)","\/Wanda_Mason_(Earth-616)",NA,"Good Characters",NA,"Blond Hair","Female Characters",NA,"Living Characters",8,"1990, November","November",1990,1990-11-01
"3808","Marvel",81506,"Werner von Strucker (Earth-616)","\/Werner_von_Strucker_(Earth-616)","Secret Identity","Bad Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Deceased Characters",8,"1990, August","August",1990,1990-08-01
"3809","Marvel",7658,"Anne Marie Cortez (Earth-616)","\/Anne_Marie_Cortez_(Earth-616)","No Dual Identity","Bad Characters","Black Eyes","Blue Hair","Female Characters",NA,"Deceased Characters",8,"1991, October","October",1991,1991-10-01
"3810","Marvel",18536,"Aundray Phelps (Earth-616)","\/Aundray_Phelps_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Male Characters","Homosexual Characters","Living Characters",8,"1991, December","December",1991,1991-12-01
"3811","Marvel",32514,"Dubose Wilson (Earth-616)","\/Dubose_Wilson_(Earth-616)",NA,"Bad Characters",NA,"Black Hair","Male Characters",NA,"Living Characters",8,"1991, February","February",1991,1991-02-01
"3812","Marvel",26896,"Edna Staples (Earth-616)","\/Edna_Staples_(Earth-616)","Public Identity","Good Characters",NA,"White Hair","Female Characters",NA,"Deceased Characters",8,"1991, January","January",1991,1991-01-01
"3813","Marvel",32704,"Jennifer Nyles (Earth-616)","\/Jennifer_Nyles_(Earth-616)","Public Identity",NA,NA,"Blond Hair","Female Characters",NA,"Living Characters",8,"1991, October","October",1991,1991-10-01
"3814","Marvel",18355,"LaHoya Scripps (Earth-616)","\/LaHoya_Scripps_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",8,"1991, December","December",1991,1991-12-01
"3815","Marvel",2308,"Psynapse (Earth-616)","\/Psynapse_(Earth-616)","Secret Identity","Bad Characters",NA,"Black Hair","Male Characters",NA,"Deceased Characters",8,"1991, April","April",1991,1991-04-01
"3816","Marvel",18264,"Tung Rapongan (Earth-616)","\/Tung_Rapongan_(Earth-616)","Secret Identity","Bad Characters",NA,"Strawberry Blond Hair","Male Characters",NA,"Living Characters",8,"1991, April","April",1991,1991-04-01
"3817","Marvel",27522,"Wyndell Dickinson (Earth-616)","\/Wyndell_Dickinson_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Black Hair","Male Characters",NA,"Living Characters",8,"1991, October","October",1991,1991-10-01
"3818","Marvel",321200,"Aaron Cashin (Earth-616)","\/Aaron_Cashin_(Earth-616)","Secret Identity","Bad Characters",NA,"Brown Hair","Male Characters",NA,"Living Characters",8,"1992, June","June",1992,1992-06-01
"3819","Marvel",2564,"Christopher Anderson (Earth-616)","\/Christopher_Anderson_(Earth-616)","Secret Identity","Bad Characters",NA,"Bald","Male Characters",NA,"Living Characters",8,"1992, January","January",1992,1992-01-01
"3820","Marvel",1376,"Crule (Earth-616)","\/Crule_(Earth-616)","Secret Identity","Bad Characters","White Eyes","Orange Hair","Male Characters",NA,"Deceased Characters",8,"1992, July","July",1992,1992-07-01
"3821","Marvel",631045,"Daryl Taylor (Earth-616)","\/Daryl_Taylor_(Earth-616)","Public Identity","Good Characters",NA,"Black Hair","Male Characters",NA,"Deceased Characters",8,"1992, May","May",1992,1992-05-01
"3822","Marvel",302730,"Gregory Belial (Earth-616)","\/Gregory_Belial_(Earth-616)","Secret Identity","Bad Characters",NA,"Black Hair","Male Characters",NA,"Deceased Characters",8,"1992, December","December",1992,1992-12-01
"3823","Marvel",4070,"Heike Zemo (Earth-616)","\/Heike_Zemo_(Earth-616)","Secret Identity","Bad Characters","Blue Eyes","Bald","Female Characters",NA,"Deceased Characters",8,"1992, February","February",1992,1992-02-01
"3824","Marvel",32710,"Janice Hollenbeck (Earth-616)","\/Janice_Hollenbeck_(Earth-616)",NA,"Good Characters",NA,NA,"Female Characters",NA,"Deceased Characters",8,"1992, February","February",1992,1992-02-01
"3825","Marvel",300176,"Meat Market (Earth-616)","\/Meat_Market_(Earth-616)","Secret Identity","Bad Characters","Red Eyes","No Hair","Male Characters",NA,"Living Characters",8,"1992, August","August",1992,1992-08-01
"3826","Marvel",16977,"Solar Wind (Earth-616)","\/Solar_Wind_(Earth-616)","Secret Identity",NA,NA,"Black Hair","Female Characters",NA,"Living Characters",8,"1992, April","April",1992,1992-04-01
"3827","Marvel",15678,"Theodore Davros (Earth-616)","\/Theodore_Davros_(Earth-616)","Secret Identity","Bad Characters",NA,NA,"Male Characters",NA,"Living Characters",8,"1992, May","May",1992,1992-05-01
"3828","Marvel",406567,"Thomas Pyke (Earth-616)","\/Thomas_Pyke_(Earth-616)",NA,"Good Characters",NA,NA,"Male Characters",NA,"Living Characters",8,"1992, July","July",1992,1992-07-01
"3829","Marvel",113899,"Czorn Yson (Earth-616)","\/Czorn_Yson_(Earth-616)","Secret Identity","Good Characters","White Eyes","Bald","Male Characters",NA,"Living Characters",8,"1993, August","August",1993,1993-08-01
"3830","Marvel",549621,"Don Rigoletto (Earth-616)","\/Don_Rigoletto_(Earth-616)",NA,"Bad Characters","Brown Eyes","Grey Hair","Male Characters",NA,"Deceased Characters",8,"1993, December","December",1993,1993-12-01
"3831","Marvel",127355,"Fast (Sparrow) (Earth-616)","\/Fast_(Sparrow)_(Earth-616)","Secret Identity","Bad Characters",NA,"Black Hair","Female Characters",NA,"Living Characters",8,"1993, May","May",1993,1993-05-01
"3832","Marvel",16327,"Hans Middlestadt (Earth-616)","\/Hans_Middlestadt_(Earth-616)","Secret Identity","Good Characters",NA,"Blond Hair","Male Characters",NA,"Living Characters",8,"1993, March","March",1993,1993-03-01
"3833","Marvel",34308,"Henrique Gallante (Earth-616)","\/Henrique_Gallante_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",8,"1993, February","February",1993,1993-02-01
"3834","Marvel",88601,"Jason (Pantheon) (Earth-616)","\/Jason_(Pantheon)_(Earth-616)","Secret Identity",NA,"Blue Eyes","Brown Hair","Male Characters",NA,"Living Characters",8,"1993, September","September",1993,1993-09-01
"3835","Marvel",726210,"Kistur (Earth-616)","\/Kistur_(Earth-616)",NA,NA,NA,NA,"Male Characters",NA,"Living Characters",8,"1993, March","March",1993,1993-03-01
"3836","Marvel",93208,"Owen Llewelyn (Earth-616)","\/Owen_Llewelyn_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Bald","Male Characters",NA,"Living Characters",8,"1993, May","May",1993,1993-05-01
"3837","Marvel",622651,"Philip Grant (Earth-616)","\/Philip_Grant_(Earth-616)","Public Identity","Bad Characters","Blue Eyes",NA,"Male Characters",NA,"Living Characters",8,"1993, December","December",1993,1993-12-01
"3838","Marvel",1801,"Radha Dastoor (Earth-616)","\/Radha_Dastoor_(Earth-616)","Public Identity",NA,"Brown Eyes","Black Hair","Female Characters",NA,"Deceased Characters",8,"1993, November","November",1993,1993-11-01
"3839","Marvel",287363,"William Clinton (Earth-616)","\/William_Clinton_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Grey Hair","Male Characters",NA,"Living Characters",8,"1993, October","October",1993,1993-10-01
"3840","Marvel",116829,"Amberson Osborn (Earth-616)","\/Amberson_Osborn_(Earth-616)","No Dual Identity",NA,"Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",8,"1994, June","June",1994,1994-06-01
"3841","Marvel",20145,"Black Brigade (Earth-616)","\/Black_Brigade_(Earth-616)","Secret Identity","Bad Characters","Blue Eyes",NA,"Male Characters",NA,"Deceased Characters",8,"1994, October","October",1994,1994-10-01
"3842","Marvel",86183,"Butterfly (Avatars) (Earth-616)","\/Butterfly_(Avatars)_(Earth-616)","Secret Identity","Bad Characters",NA,"Black Hair","Female Characters",NA,"Living Characters",8,"1994, December","December",1994,1994-12-01
"3843","Marvel",116766,"Cole Cooper (Earth-616)","\/Cole_Cooper_(Earth-616)","Public Identity",NA,"Blue Eyes","Strawberry Blond Hair","Male Characters",NA,"Living Characters",8,"1994, June","June",1994,1994-06-01
"3844","Marvel",1408,"Deadbolt (Earth-616)","\/Deadbolt_(Earth-616)","Secret Identity","Bad Characters",NA,NA,"Male Characters",NA,"Deceased Characters",8,"1994, November","November",1994,1994-11-01
"3845","Marvel",338202,"Dread (Earth-616)","\/Dread_(Earth-616)","Secret Identity","Bad Characters","Green Eyes","White Hair","Male Characters",NA,"Deceased Characters",8,"1994, March","March",1994,1994-03-01
"3846","Marvel",655368,"Gabrielle Greer (Earth-616)","\/Gabrielle_Greer_(Earth-616)","Public Identity","Good Characters",NA,"Black Hair","Female Characters",NA,"Living Characters",8,"1994, December","December",1994,1994-12-01
"3847","Marvel",125888,"Hywell Griffin (Earth-616)","\/Hywell_Griffin_(Earth-616)","Secret Identity","Bad Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",8,"1994, November","November",1994,1994-11-01
"3848","Marvel",694234,"Ian Langstrom (Earth-616)","\/Ian_Langstrom_(Earth-616)",NA,NA,NA,NA,"Male Characters",NA,"Living Characters",8,"1994, January","January",1994,1994-01-01
"3849","Marvel",12824,"James Pierce (Earth-616)","\/James_Pierce_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",8,"1994, January","January",1994,1994-01-01
"3850","Marvel",76664,"Lenz (Earth-616)","\/Lenz_(Earth-616)","Secret Identity","Bad Characters","Red Eyes","Green Hair","Male Characters",NA,"Living Characters",8,"1994, October","October",1994,1994-10-01
"3851","Marvel",116423,"Marius Boudreaux (Earth-616)","\/Marius_Boudreaux_(Earth-616)","Public Identity","Bad Characters","Blue Eyes","Brown Hair","Male Characters",NA,"Deceased Characters",8,"1994, January","January",1994,1994-01-01
"3852","Marvel",19185,"Protocol (Earth-616)","\/Protocol_(Earth-616)",NA,"Bad Characters","Red Eyes","Bald","Male Characters",NA,"Living Characters",8,"1994, November","November",1994,1994-11-01
"3853","Marvel",338195,"Rak (Earth-616)","\/Rak_(Earth-616)","Secret Identity","Bad Characters",NA,"Green Hair","Male Characters",NA,"Living Characters",8,"1994, February","February",1994,1994-02-01
"3854","Marvel",18207,"Tantalus (Deviant) (Earth-616)","\/Tantalus_(Deviant)_(Earth-616)","Secret Identity","Bad Characters","Red Eyes",NA,"Male Characters",NA,"Living Characters",8,"1994, February","February",1994,1994-02-01
"3855","Marvel",352795,"Arkadine Arcadius (Earth-616)","\/Arkadine_Arcadius_(Earth-616)","No Dual Identity","Bad Characters","Yellow Eyes","White Hair","Male Characters",NA,"Living Characters",8,"1995, March","March",1995,1995-03-01
"3856","Marvel",393791,"Ator (Earth-616)","\/Ator_(Earth-616)","No Dual Identity","Bad Characters",NA,"Brown Hair","Male Characters",NA,"Living Characters",8,"1995, March","March",1995,1995-03-01
"3857","Marvel",393799,"Glaboo (Earth-616)","\/Glaboo_(Earth-616)","Public Identity",NA,NA,"No Hair","Male Characters",NA,"Living Characters",8,"1995, March","March",1995,1995-03-01
"3858","Marvel",39606,"Jason Tso (Earth-616)","\/Jason_Tso_(Earth-616)","Public Identity","Bad Characters",NA,"Black Hair","Male Characters",NA,"Deceased Characters",8,"1995, November","November",1995,1995-11-01
"3859","Marvel",249751,"Joseph Wade (Earth-616)","\/Joseph_Wade_(Earth-616)","Secret Identity","Bad Characters",NA,"Brown Hair","Male Characters",NA,"Living Characters",8,"1995, November","November",1995,1995-11-01
"3860","Marvel",30470,"Michele Scicluna (Earth-616)","\/Michele_Scicluna_(Earth-616)","Secret Identity","Good Characters",NA,"White Hair","Female Characters",NA,"Living Characters",8,"1995, February","February",1995,1995-02-01
"3861","Marvel",400234,"Paula Harris (Earth-616)","\/Paula_Harris_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",8,"1995, February","February",1995,1995-02-01
"3862","Marvel",476433,"Peter Parker (Jack) (Earth-616)","\/Peter_Parker_(Jack)_(Earth-616)","Secret Identity",NA,"Hazel Eyes","Bald","Male Characters",NA,"Deceased Characters",8,"1995, March","March",1995,1995-03-01
"3863","Marvel",393798,"Pulssus (Earth-616)","\/Pulssus_(Earth-616)","Public Identity",NA,NA,"No Hair","Male Characters",NA,"Living Characters",8,"1995, March","March",1995,1995-03-01
"3864","Marvel",250703,"River Verys (Earth-616)","\/River_Verys_(Earth-616)","Public Identity","Bad Characters","White Eyes","Grey Hair","Male Characters",NA,"Deceased Characters",8,"1995, December","December",1995,1995-12-01
"3865","Marvel",9855,"Sergio Torres (Earth-616)","\/Sergio_Torres_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Black Hair","Male Characters",NA,"Living Characters",8,"1995, December","December",1995,1995-12-01
"3866","Marvel",400296,"Spook (Earth-616)","\/Spook_(Earth-616)","Secret Identity","Bad Characters",NA,"Bald","Male Characters",NA,"Living Characters",8,"1995, February","February",1995,1995-02-01
"3867","Marvel",347126,"Agatha Harkness (Heroes Reborn) (Earth-616)","\/Agatha_Harkness_(Heroes_Reborn)_(Earth-616)","No Dual Identity","Good Characters",NA,NA,"Female Characters",NA,"Living Characters",8,"1996, November","November",1996,1996-11-01
"3868","Marvel",101384,"Dorma (Heroes Reborn) (Earth-616)","\/Dorma_(Heroes_Reborn)_(Earth-616)",NA,NA,"Blue Eyes","Auburn Hair","Female Characters",NA,"Deceased Characters",8,"1996, December","December",1996,1996-12-01
